rsid	region	chr_pos	chr_id	p_value	mapped_gene
rs1893217	18p11.21	12809341.0	18	4e-15	PTPN2
rs11203203	21q22.3	42416077.0	21	2e-09	UBASH3A
rs9388489	6q22.32	126377573.0	6	4e-13	CENPW - NA
rs4948088	7p12.1	50959497.0	7	4e-08	NA - COBL
rs10509540	10q23.31	88263276.0	10	9.999999999999999e-29	NA - RNLS
rs4763879	12p13.31	9757568.0	12	2e-11	CD69
rs4900384	14q32.2	98032614.0	14	4e-09	LINC01550 - NA
rs7202877	16q23.1	75213347.0	16	3e-15	CTRB2 - CTRB1
rs2281808	20p13	1629905.0	20	1e-11	SIRPG
rs5753037	22q12.2	30185733.0	22	3e-16	HORMAD2 - LIF-AS1
rs2269241	1p31.3	63643100.0	1	4e-07	PGM1
rs1534422	2p24.3	12500615.0	2	2e-06	MIR3681HG
rs9268645	6p21.32	32440750.0	6	1e-100	HLA-DRA
rs1990760	2q24.2	162267541.0	2	7e-09	IFIH1
rs4505848	4q27	122211337.0	4	5e-13	KIAA1109
rs2290400	17q21.1	39909987.0	17	6e-13	GSDMB
rs7804356	7p15.2	26852046.0	7	5e-09	SKAP2
rs16956936	17p13.1	7730374.0	17	5e-07	DNAH2
rs425105	19q13.32	46705224.0	19	3e-11	PRKD2
rs7221109	17q21.2	40614034.0	17	1e-09	CCR7 - SMARCE1
rs2664170	Xq28	154717327.0	X	8e-09	GAB3
rs12444268	16p12.3	20331250.0	16	2e-07	GP2 - UMOD
rs7111341	11p15.5	2191936.0	11	4e-48	MIR4686 - ASCL2
rs229541	22q12.3	37195278.0	22	2e-07	C1QTNF6
rs10517086	4p15.2	26083889.0	4	5e-10	LINC02357
rs7020673	9p24.2	4291747.0	9	5e-12	GLIS3
rs1465788	14q24.1	68796882.0	14	2e-12	ZFP36L1 - MAGOH3P
rs17388568	4q27	122408207.0	4	6e-06	ADAD1
rs12722495	10p15.1	6055320.0	10	1e-38	IL2RA
rs3788013	21q22.3	42421219.0	21	1e-07	UBASH3A
rs743777	22q12.3	37155567.0	22	2e-06	IL2RB
rs2069762	4q27	122456825.0	4	5e-07	IL2 - NA
rs4788084	16p11.2	28528527.0	16	1e-08	IL27 - NUPR1
rs7171171	15q14	38614840.0	15	2e-07	RASGRP1 - LINC02694
rs2872507	17q21.1	39884510.0	17	2e-06	ZPBP2 - GSDMB
rs7528684	1q23.1	157701026.0	1	8e-09	FCRL3 - VDAC1P9
rs657152	9q34.2	133263862.0	9	1e-13	ABO, ABO
rs11755527	6q15	90248512.0	6	1e-06	BACH2
rs73043122	6q27	166969779.0	6	4e-06	RNASET2 - MIR3939
rs113306148	10q26.13	122400322.0	10	3e-06	PLEKHA1
rs10831551	11p15.5	2217058.0	11	5e-06	MIR4686 - ASCL2
rs428595	22q11.21	21662102.0	22	2e-06	MIR130B - PPIL2
rs6679677	1p13.2	113761186.0	1	2e-06	PHTF1 - RSBN1
rs3184504	12q24.12	111446804.0	12	4e-07	ATXN2, SH2B3
rs11705721	3p14.3	58414687.0	3	9e-06	PXK
rs28600853	1p36.32	2863195.0	1	6e-06	TTC34 - NA
rs3842727	11p15.5	2163618.0	11	6e-06	INS - TH
rs9934817	16p13.3	6086218.0	16	8e-06	RBFOX1
rs1970112	9p21.3	22085599.0	9	1e-08	CDKN2B-AS1
rs181176493	2q36.1	223293148.0	2	2e-07	RN7SL807P - NA
rs70962766	2p15	62179865.0	2	5e-07	COMMD1 - B3GNT2
rs138181578	6p21.1	45758094.0	6	7e-07	RUNX2 - NA
rs10625784	11q22.3	106323171.0	11	8e-07	
rs79237700	15q21.3	53449415.0	15	2e-06	LINC02490 - WDR72
rs574480779	5q33.2	155011321.0	5	9e-07	MRPL22 - KIF4B
rs1344228	2q14.3	123529348.0	2	8e-06	
rs6055069	20p13	153643.0	20	1e-06	DEFB126 - DEFB127
rs17206992	2q24.1	154368670.0	2	6e-06	GALNT13
rs113517532	2q31.1	176780863.0	2	2e-06	LINC01117
rs73018809	3p25.1	13329174.0	3	2e-07	NUP210
rs28641753	3q13.11	104256574.0	3	2e-07	
rs78031527	4p16.1	6169503.0	4	5e-06	JAKMIP1, C4orf50
rs143537377	5p15.2	10500534.0	5	8e-06	LINC02212
rs115829748	5q13.2	72098560.0	5	1e-09	NA - MAP1B
rs9354144	6q16.1	94847753.0	6	6e-06	
rs571622299	8q21.11	72930288.0	8	6e-06	KCNB2
rs143723948	9p13.2	37034098.0	9	6e-07	PAX5
rs117826205	10p12.31	19168458.0	10	6e-06	MALRD1
rs61879614	11p15.4	8058878.0	11	3e-06	TUB
rs34319244	17p13.2	4424870.0	17	3e-06	UBE2G1 - SPNS3
rs113114656	18q21.1	47872985.0	18	2e-06	SMAD2
rs67213764	21q21.1	19974842.0	21	9e-06	LINC01683 - NA
rs12482425	21q21.2	23556791.0	21	9e-06	
rs373009901	22q12.1	25592812.0	22	9e-06	GRK3
rs138760780	1q32.1	205515245.0	1	9e-06	CDK18
rs12344245	9q21.12	69340801.0	9	9e-06	FAM189A2
rs705705	12q13.2	56041720.0	12	3.9999999999999997e-32	RPS26
rs653178	12q24.12	111569952.0	12	2e-44	ATXN2
rs9585056	13q32.3	99429512.0	13	3e-08	CCR12P - TM9SF2
rs1456988	14q32.2	98021670.0	14	3e-08	LINC01550 - NA
rs56994090	14q32.2	100840110.0	14	1e-11	MEG3
rs72727394	15q14	38554821.0	15	4e-10	RASGRP1
rs34593439	15q25.1	78942615.0	15	9e-14	CTSH
rs151234	16p12.1	28494339.0	16	5e-11	CLN3
rs12927355	16p13.13	11100914.0	16	3e-22	CLEC16A
rs193778	16p13.13	11257354.0	16	4e-10	RMI2
rs8056814	16q23.1	75218429.0	16	3e-19	CTRB2 - CTRB1
rs12453507	17q21.1	39896954.0	17	1e-08	ZPBP2 - GSDMB
rs757411	17q21.2	40618898.0	17	1e-07	CCR7 - SMARCE1
rs1052553	17q21.31	45996523.0	17	8e-08	MAPT, MAPT, MAPT
rs12971201	18p11.21	12830539.0	18	2e-06	PTPN2
rs1615504	18q22.2	69859408.0	18	2e-11	CD226
rs34536443	19p13.2	10352442.0	19	4e-15	TYK2
rs12720356	19p13.2	10359299.0	19	4e-07	TYK2
rs402072	19q13.32	46715865.0	19	5e-08	PRKD2
rs516246	19q13.33	48702915.0	19	5e-14	FUT2
rs6043409	20p13	1635560.0	20	3e-10	SIRPG-AS1, SIRPG
rs11203202	21q22.3	42405248.0	21	1e-15	UBASH3A
rs6518350	21q22.3	44201934.0	21	1e-07	GATD3A
rs4820830	22q12.2	30135102.0	22	1e-12	HORMAD2
rs6691977	1q32.1	200845831.0	1	4e-08	CAMSAP2
rs3024505	1q32.1	206766559.0	1	6e-08	Y_RNA - IL10
rs13415583	2q11.2	100147625.0	2	1e-07	AFF3
rs4849135	2q13	110857502.0	2	4e-08	ACOXL
rs2111485	2q24.2	162254026.0	2	4e-18	FAP - IFIH1
rs35667974	2q24.2	162268127.0	2	9e-09	IFIH1
rs72871627	2q24.2	162280432.0	2	2e-06	IFIH1
rs113010081	3p21.31	46415921.0	3	5e-08	CCRL2 - LINC02009
rs75793288	4q27	122322441.0	4	6e-13	KIAA1109
rs2611215	4q32.3	165653115.0	4	2e-11	NA - LINC01179
rs11954020	5p13.2	35883149.0	5	4e-08	IL7R - CAPSL
rs72928038	6q15	90267049.0	6	6e-14	BACH2
rs1538171	6q22.32	126431738.0	6	7e-10	CENPW - MIR588
rs62447205	7p12.2	50398132.0	7	3e-08	IKZF1
rs10277986	7p12.1	50961290.0	7	1e-07	NA - COBL
rs6476839	9p24.2	4290823.0	9	1e-09	GLIS3
rs61839660	10p15.1	6052734.0	10	3e-39	IL2RA
rs10795791	10p15.1	6066377.0	10	6e-11	IL2RA - RPL32P23
rs41295121	10p15.1	6087680.0	10	5e-08	RPL32P23 - RBM17
rs12416116	10q23.31	88275897.0	10	4e-15	RNLS
rs689	11p15.5	2160994.0	11	1e-100	INS-IGF2, INS
rs72853903	11p15.5	2177435.0	11	6e-10	MIR4686 - ASCL2
rs917911	12p13.31	9753255.0	12	2e-07	CD69
rs229533	22q12.3	37191071.0	22	2e-08	C1QTNF6
rs114631266	6p22.1	29058810.0	6	2e-06	OR2W1 - OR2P1P
rs2471863	6p22.1	29931850.0	6	8e-07	HLA-K - HLA-U
rs34941730	6p22.1	29946109.0	6	2e-09	HLA-A - HLA-W
rs45626136	6p22.1	30345252.0	6	1e-06	RPP21, TRIM39-RPP21
rs116020851	6p21.33	30954755.0	6	3e-07	HCG21, SFTA2
rs1265057	6p21.33	31110838.0	6	2e-06	RNU6-1133P - C6orf15
rs116763857	6p21.33	31173705.0	6	1e-14	POU5F1
rs9264758	6p21.33	31280657.0	6	3e-07	RPL3P2
rs9501130	6p21.33	31449679.0	6	2e-11	LINC01149 - HCP5
rs3093664	6p21.33	31576865.0	6	3e-07	TNF
rs3134938	6p21.32	32238711.0	6	8e-07	NOTCH4 - TSBP1-AS1
rs926592	6p21.32	32337881.0	6	6e-06	TSBP1-AS1, TSBP1
rs3135365	6p21.32	32421478.0	6	9e-06	TSBP1-AS1 - HLA-DRA
rs9268576	6p21.32	32427864.0	6	2e-08	TSBP1-AS1 - HLA-DRA
rs7760731	6p21.32	32615624.0	6	6e-11	HLA-DRB1 - HLA-DQA1
rs9275358	6p21.32	32700118.0	6	3e-07	HLA-DQB1 - MTCO3P1
rs35122968	6p21.32	32714422.0	6	4e-11	MTCO3P1 - HLA-DQB3
rs3997848	6p21.32	32714617.0	6	2e-14	MTCO3P1 - HLA-DQB3
rs241427	6p21.32	32836637.0	6	4e-06	TAP2
rs4148870	6p21.32	32838614.0	6	2e-06	TAP2
rs3128930	6p21.32	33107889.0	6	7e-06	COL11A2P1 - HLA-DPB2
rs17407280	1p36.12	20693912.0	1	7e-06	KIF17
rs10919543	1q23.3	161538827.0	1	6e-06	RPS23P10 - FCGR3A
rs7524087	1q32.3	212470318.0	1	8e-06	LINC02771
rs77155259	2q24.2	161647730.0	2	2e-06	SLC4A10
rs111821448	3q13.2	111874722.0	3	5e-06	PHLDB2
rs139881548	4p12	46372280.0	4	7e-06	GABRA2
rs34740712	4q32.3	165916328.0	4	5e-06	TLL1
rs4513644	5q11.2	57837318.0	5	8e-07	NA - LINC02225
rs78824139	6q12	64748694.0	6	9e-06	EYS
rs6461299	7p21.1	17147155.0	7	2e-06	AHR
rs10255565	7p13	43408191.0	7	1e-06	HECW1
rs35766765	8q24.22	132775726.0	8	3e-06	PHF20L1
rs74629033	9p24.1	5421234.0	9	5e-06	PLGRKT
rs10961433	9p22.3	14228472.0	9	2e-06	NFIB
rs4837404	9q34.11	129743380.0	9	5e-06	PTGES
rs1110458	16p12.2	22969144.0	16	8e-06	HS3ST2 - USP31
rs2941522	17q12	39754115.0	17	7e-09	GRB7 - IKZF3
rs10258381	7p21.3	10057028.0	7	5e-06	
rs7301381	12p13.31	8971336.0	12	5e-11	KLRG1
rs238265	13q14.11	42356523.0	13	2e-09	LINC02341
rs4238595	16p12.3	20331769.0	16	2e-11	GP2 - UMOD
rs8046043	16q23.2	80250127.0	16	2e-08	
rs61759532	17p13.1	7337072.0	17	2e-10	ACAP1
rs11651753	17q21.32	47951723.0	17	1e-09	PNPO - PRR15L
rs57209021	17q24.2	68168777.0	17	4e-08	RDM1P3 - ARHGAP27P2
rs74203920	21q22.3	44294411.0	21	2e-08	AIRE
rs10751776	1p36.11	24970252.0	1	3e-08	RUNX3 - MIR4425
rs574384	1p34.3	35622060.0	1	2e-08	PSMB2
rs12742756	1p34.3	37881745.0	1	4e-08	INPP5B
rs855330	1p31.3	63648218.0	1	5e-11	PGM1
rs1493696	1p12	119962909.0	1	8e-09	NOTCH2
rs570794153	1q31.3	198629260.0	1	4e-11	ATP6V1G3 - PTPRC
rs12128789	1q32.3	212679490.0	1	4e-09	LINC02773 - BATF3
rs1881146	2p24.3	12494668.0	2	5e-08	MIR3681HG
rs12464462	2p16.1	60409281.0	2	9e-10	MIR4432HG
rs13018977	2q37.3	241338592.0	2	2e-08	SEPTIN2
rs12644686	4q35.1	184381748.0	4	2e-08	LINC02362
rs114378220	5q22.1	111230662.0	5	5e-09	CAMK4
rs766751473	5q31.1	132431072.0	5	1e-08	IRF1-AS1
rs1050979	6p25.3	410417.0	6	6e-14	IRF4
rs7805218	7p21.1	20339178.0	7	9e-09	ITGB8
rs7795896	7q31.2	117446559.0	7	2e-16	CFTR
rs1947178	8q12.1	58959618.0	8	2e-09	TOX
rs13259300	8q24.12	119070702.0	8	3e-10	COLEC10
rs3802214	8q24.3	140606084.0	8	3e-08	AGO2
rs541856133	9q34.13	133060938.0	9	4e-17	GTF3C5 - CEL
rs537544	10p14	8066419.0	10	9e-09	GATA3
rs78325861	10q22.1	70618733.0	10	2e-11	PRF1 - ADAMTS14
rs140215710	11p15.4	2881830.0	11	4e-08	KCNQ1DN - CDKN1C
rs7936434	11q13.5	76582761.0	11	4e-08	EMSY - LINC02757
rs607703	11q24.3	128734279.0	11	1e-10	FLI1
rs55846421	14q21.3	49843683.0	14	2e-09	NEMF
rs79538630	11q12.2	60961822.0	11	1e-09	SLC15A3 - CD6
rs34090353	1p22.1	92358141.0	1	1e-08	RPAP2
rs645078	11q13.1	64367826.0	11	3e-09	RPS6KA4
rs2229238	1q21.3	154465420.0	1	1e-12	IL6R
rs1805731	12p13.31	8942630.0	12	4e-08	M6PR
rs7313065	12q13.13	53077434.0	12	3e-09	SPRYD3
rs74537115	13q14.11	42343795.0	13	5e-09	LINC02341
rs911263	14q24.1	68286876.0	14	3e-08	RAD51B
rs113881148	4p16.3	973543.0	4	6e-09	DGKQ
rs56178904	21q22.3	44204668.0	21	7e-11	GATD3A
rs2641348	1p12	119895261.0	1	2e-08	ADAM30
rs78037977	1q24.3	172746562.0	1	2e-09	FASLG - SLC25A38P1
rs2816313	1q31.2	192570207.0	1	5e-09	NA - RGS1
rs11120029	1q32.3	212796238.0	1	2e-08	TATDN3
rs10169963	2p24.3	12512805.0	2	3e-08	MIR3681HG
rs12712067	2q11.2	100147438.0	2	4e-09	AFF3
rs7582694	2q32.3	191105394.0	2	3e-09	STAT4
rs10933559	2q37.3	241468331.0	2	3e-11	FARP2
rs337637	4p14	38602849.0	4	3e-10	KLF3-AS1
rs1876142	5p13.1	40521603.0	5	2e-14	TTC33
rs968567	11q12.2	61828092.0	11	8e-09	FADS1, FADS2
rs605093	11q24.3	128734337.0	11	4e-09	FLI1
rs2597169	17q21.32	47956725.0	17	3e-09	PRR15L
rs10213692	5q11.2	56146422.0	5	3e-09	ANKRD55
rs9405661	6p25.3	424915.0	6	2e-09	IRF4 - EXOC2
rs12665429	6q23.3	137682468.0	6	1e-13	NA - LINC02539
rs212408	6q25.3	159049210.0	6	1e-15	TAGAP-AS1
rs17143056	7p21.1	20557306.0	7	2e-08	NA - EEF1A1P27
rs10245867	7p15.1	28102567.0	7	3e-08	JAZF1
rs2250903	8p23.1	11877675.0	8	1e-10	CTSB - OR7E158P
rs1405209	9q31.1	99823263.0	9	3e-08	NR4A3, STX17-AS1
rs722988	10p11.22	33137219.0	10	3e-15	IATPR - NRP1
rs11033048	11p13	35267496.0	11	2e-10	SLC1A2
rs13147255	4q28.1	124578751.0	4	1e-08	LINC02516 - ANKRD50
rs857786	1q23.1	158815304.0	1	6e-09	OR10AA1P - MNDA
rs553806124		27921000.0	3	1e-08	
rs114721354		182869236.0	1	4e-08	
rs550543239		21507398.0	18	2e-08	
rs144520550		114257954.0	3	5e-08	
rs188998530		20451062.0	8	8e-09	
rs567939777		46032617.0	6	9e-06	
rs562286756		51887655.0	16	2e-09	
rs1816797		60664647.0	10	2e-08	
rs531381284		41956642.0	21	2e-07	
rs534191848		48863732.0	7	5e-08	
rs61343935		102495801.0	1	3e-08	
rs544143586		120940685.0	10	2e-08	
rs188683350		21746775.0	14	3e-09	
rs543301155		4377254.0	20	4e-06	
rs752049703		36633617.0	19	4e-08	
rs45518931		36013582.0	19	1e-08	
rs555206121		217759606.0	2	4e-08	
rs191521884		221898846.0	1	3e-08	
rs189285397		37034392.0	19	3e-08	
rs146172950		105683278.0	4	2e-08	
rs182087948		46441258.0	15	4e-09	
rs575681391		76353999.0	8	4e-06	
rs559043037		78372988.0	1	3e-08	
rs541715332		8311442.0	6	6e-09	
rs71549272		32535377.0	6	2e-306	
rs56098412		32911694.0	6	6e-63	
rs146427450		69571112.0	18	1e-10	
rs148758429		96458513.0	14	9e-07	
rs3130614		31508681.0	6	3e-80	
rs187229894		61597297.0	16	8e-09	
rs148505224		117532167.0	7	2e-08	
rs3132450		31628361.0	6	3.0000000000000006e-89	
rs376621269		31799896.0	6	2e-90	
rs1150752		32096949.0	6	1e-90	
rs558702		31902549.0	6	9e-92	
rs1257631742		32809144.0	6	9e-89	
rs1265757		32334605.0	6	4e-102	
rs118037200		58518360.0	18	3e-08	
rs3130297		32231204.0	6	4e-106	
rs9269032		32469977.0	6	4e-108	
rs553696081		47871241.0	19	2e-08	
rs188260549		78403273.0	11	5e-09	
rs1568959252		44998426.0	21	8e-09	
rs1794282		32698749.0	6	7.000000000000003e-110	
rs896487664		25865493.0	2	5e-09	
rs144833113		58389479.0	18	2e-07	
rs186775995		24259293.0	4	4e-08	
rs79236527		63633409.0	1	2e-08	
rs188453055		74624584.0	15	2e-06	
rs190446914		33955292.0	11	2e-09	
rs2255593		65543332.0	12	7e-09	
rs7351085		31157758.0	19	2e-08	
rs386630424		37781423.0	1	6e-16	
rs34459306		92954497.0	4	4e-08	
rs1586135813		56693303.0	8	3e-08	
rs62489382		129949957.0	7	5e-12	
rs62461371		44959149.0	7	1e-10	
rs34349547		37891198.0	1	1e-19	
rs62251992		57259774.0	3	4e-16	
rs224009		20324372.0	9	3e-09	
rs2250519		65644210.0	12	7e-10	
rs71557351		26835246.0	6	5e-11	
rs77081773		27596077.0	15	2e-08	
rs34800387		137009624.0	2	4e-11	
rs520449		134538048.0	2	3e-52	
rs6723108		134722410.0	2	3e-57	
rs6430545		134845031.0	2	1e-58	
rs1979033		134947988.0	2	4e-14	
rs144512578		69405649.0	18	1e-06	
rs13207365		27063201.0	6	3e-96	
rs74956101		9864106.0	16	9e-10	
rs1396962964		5703334.0	9	5e-08	
rs4713614		33160210.0	6	2e-151	
rs116418977		25365660.0	6	5e-41	
rs28746946		32684938.0	6	0.0	
rs6930376		31275040.0	6	1.9999999999999999e-286	
rs62168795		135671796.0	2	6.0000000000000005e-117	
rs6730157		135149518.0	2	1e-116	
rs1219701875		135571320.0	2	7e-114	
rs6709525		135403522.0	2	2.0000000000000002e-21	
rs4954387		136026774.0	2	1e-91	
rs935613		135265228.0	2	2e-75	
rs28815269		136221960.0	2	4e-16	
rs430133		29683408.0	6	2e-60	
rs9260324		29949300.0	6	2e-44	
rs7128060		18269981.0	11	3e-39	
rs28720060		137228466.0	4	1e-08	
rs36146296		57373867.0	3	6e-17	
rs1962386		41913324.0	2	1.9999999999999997e-28	
rs10829984		131361823.0	10	2e-08	
rs998500		151853237.0	1	3e-08	
rs11157552		22383427.0	14	8e-13	
rs4688508		64734347.0	3	1e-16	
rs312024		68326963.0	11	1e-09	
rs11959635		6893947.0	5	8e-07	
rs11130569		57041866.0	3	4e-09	
rs17178006		65324519.0	12	1e-06	
rs4704666		80384899.0	5	5e-08	
rs185443605		25772946.0	2	8e-06	
rs1425018091		26732200.0	6	1.9999999999999997e-28	
rs185135749		60197190.0	2	2e-09	
rs68006638		25710343.0	6	7.000000000000001e-23	
rs1462821813		30964532.0	6	2.0000000000000003e-202	
rs35789010		25513951.0	6	3e-23	
rs1170010108		27883876.0	6	2e-102	
rs13201341		25822433.0	6	1.0000000000000001e-71	
rs3884025		25929860.0	6	7.000000000000001e-73	
rs6904596		27523520.0	6	2e-96	
rs34888489		26073147.0	6	9e-24	
rs34961555		26199675.0	6	3e-79	
rs35768595		27174125.0	6	9.000000000000001e-87	
rs35715914		27624224.0	6	4e-90	
rs13220522		26316067.0	6	3e-83	
rs13191786		28309894.0	6	2.9999999999999998e-92	
rs13195401		26463346.0	6	6e-87	
rs71206067		26935600.0	6	1e-31	
rs13202295		27731058.0	6	5.999999999999997e-91	
rs13198716		26581807.0	6	1e-31	
rs398110012		28429899.0	6	8e-94	
rs71559067		28026638.0	6	3e-94	
rs35044849		28699892.0	6	3e-96	
rs13217984		28171932.0	6	7e-95	
rs3130831		29215110.0	6	9e-99	
rs866264659		29100913.0	6	4e-99	
rs9258375		29785031.0	6	5e-42	
rs413670		29558785.0	6	7e-108	
rs8321		30064745.0	6	2e-113	
rs3131071		28939145.0	6	7.0000000000000015e-43	
rs3131337		28828294.0	6	4e-117	
rs2517609		30202510.0	6	4e-125	
rs9257809		29388554.0	6	6e-45	
rs1222508183		30569095.0	6	4.0000000000000006e-132	
rs9262143		30685004.0	6	2e-133	
rs3819720		32836793.0	6	9.000000000000001e-273	
rs3094053		30387407.0	6	2e-151	
rs1405122185		30801949.0	6	1.0000000000000001e-271	
rs2523466		31395249.0	6	3e-279	
rs2516491		31517324.0	6	0.0	
rs3094669		31135418.0	6	2e-219	
rs11229		31635993.0	6	1e-302	
rs1150757		32061428.0	6	6.999999999999999e-285	
rs869165433		32234432.0	6	1e-305	
rs116647495		33647094.0	6	4e-08	
rs150420498		33489728.0	6	2e-108	
rs115337486		33387741.0	6	2e-108	
rs563597519		35897277.0	19	2e-06	
rs3806155		32405601.0	6	4e-308	
rs842353		134585720.0	2	5e-10	
rs10171677		134688820.0	2	7e-12	
rs1375131		135197227.0	2	4e-22	
rs60701868		57295247.0	3	2e-08	
rs6739713		135731408.0	2	4e-14	
rs62425513		127756593.0	6	4e-08	
rs4389079		22390463.0	14	1e-08	
rs9870517		64722924.0	3	6e-09	
rs72887765		33301993.0	6	3e-09	
rs113196564		33464895.0	6	3e-10	
rs35477995		32596935.0	6	3e-28	
rs12465802		135623778.0	2	8.000000000000001e-23	
rs7570971		135080336.0	2	9.000000000000001e-23	
rs6735329		135516008.0	2	9.000000000000001e-21	
rs1480207964		57269656.0	3	4e-09	
rs2016636		135301250.0	2	3e-15	
rs77768351		129944187.0	7	8e-09	
rs13404551		135964425.0	2	7e-16	
rs10928520		134846613.0	2	2e-13	
rs4638289		18264227.0	11	4e-09	
rs6544495		41910220.0	2	6e-09	
rs2855448		33168798.0	6	3e-16	
rs1569836568		37812907.0	1	6e-14	
rs62392365		25371141.0	6	1e-09	
rs34676049		28485841.0	6	4e-39	
rs13198809		28355925.0	6	4e-39	
rs140423469		117481369.0	2	4e-08	
rs3117342		29238474.0	6	6e-43	
rs35243068		28705657.0	6	4e-41	
rs1259270189		29051468.0	6	2.9999999999999996e-42	
rs1233488		29499942.0	6	2e-43	
rs3094067		30331468.0	6	2e-47	
rs3132645		30441472.0	6	1e-52	
rs72739842		71822481.0	9	5e-08	
rs1970		30157766.0	6	1e-51	
